CP ID,Project Number,Project Category,Project Type,Project Name,Project Location,Description,Justification,Council District,Plan Cost,Estimated Cost,Actual Cost,Project Cost,Percent Spent,Estimated Start,Estimated End,Actual Start,Actual End,Status,Notes,Project SubType,Priority,Phase,PPA Number,x Coordinate,y Coordinate,Latitude,Longitude,Map URL,Mapped Location
2130,PV-SP-18194,Paving,Paving,CHANDLER RD - TULIP GROVE RD - COUNTY LINE,CHANDLER RD - TULIP GROVE RD - COUNTY LINE,ROADWAY RESURFACING PAVING PROJECT ON 'CHANDLER RD',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",12,151300.00,0.00,8122.22,8122.22,0,2017,2017,Oct 23 1949 12:00AM,May  3 2019 12:00AM,Future,PAVING PROJECT: 'CHANDLER RD - TULIP GROVE RD - COUNTY LINE',New,Low,Future,355-02017,1795970.0429501,679955.32066612,36.19988132,-86.58475707,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/2130?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.19988132, -86.58475707)"
5939,,Culvert,Culvert Replacement,3529 Baxter Road - Service Request,BAXTER RD Between WHITES CREEK PIKE And BIDWELL RD,"Culvert Replacement Project - The work will consist of removing existing 30"" CMP pipe culvert, installation of 36"" RCP, headwalls, water main adjustment, and roadway restoration.",To replace culvert that has caused the roadway to fail. A temporary steel plate has been installed to provide passage of vehicular traffic.,01,143966.00,143966.00,0.00,143966.00,0,10/05/2019,11/18/2019,10/05/2019,10/17/2019,Complete,Installation of pipe culvert complete.,Replacement,High,Complete,1240-04119,1708174.68873918,735827.00424371,36.35154962,-86.88400289,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5939?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.35154962, -86.88400289)"
5052,,Sidewalk,New Sidewalk,27th Avenue North Sidewalk,27TH AVE N - WEST END AVE - POSTON AVE,New sidewalks on both side of 27th Avenue North,To provide connectivity to Centennial Park and local businesses along West End Avenue,21,150000.00,150000.00,118101.42,118101.42,0,,,11/01/2015,01/31/2016,Complete,New sidewalk construction complete,New,Medium,Complete,304-01015,1728642.4077744,661064.6980905,36.14667164,-86.81239071,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5052?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.14667164, -86.81239071)"
6303,,Culvert,Steel Plates,848 Glen Avenue - Steel Plates,GLEN AVE Over ELLIOTT AVE Between 666 ALY And ELLIOTT AVE,Description of Work - The work includes the installation of steel plate over roadway failure. The installation of the steel plate is a temporary measure to maintain the roadway open to vehicular traffic.,To address the roadway failure and maintain the roadway to be safe for vehicular traffic.,17,4366.54,4366.54,4366.54,4366.54,0,06/11/2018,06/11/2018,06/11/2018,06/11/2018,Complete,The installation of the steel plate is complete.,Emergency Repair,High,Complete,215-04017,1737638.11817108,654598.49096243,36.1291176,-86.78175392,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6303?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.1291176, -86.78175392)"
1032,19PV10873,Paving,Paving,FESSLERS LN - LEBANON PK - MURFREESBORO PK,FESSLERS LN - LEBANON PK - MURFREESBORO PK,ROADWAY RESURFACING PAVING PROJECT ON 'FESSLERS LN',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",19,328100.00,0.00,0.00,328100.00,0,,,"JUL, 2020","AUG, 2020",Complete,PAVING PROJECT: 'FESSLERS LN - LEBANON PK - MURFREESBORO PK',New,Low,Complete,893-00000,1749036.72951045,661593.70621597,36.14857377,-86.74333129,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/1032?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.14857377, -86.74333129)"
6441,PV-SUM-18926,Paving,Paving,42ND AVE N - MURPHY RD - ALABAMA AVE,42ND AVE N - MURPHY RD - ALABAMA AVE,"ROADWAY RESURFACING PAVING PROJECT ON '42ND AVE N'
COORDINATE WITH DEVELOPMENT AT 42ND AND CHARLOTTE AVE. MAY NEED STOP A CHARLOTTE AVE","BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",24,175950.00,405219.75,0.00,405219.75,0,,,09/01/2020,09/22/2020,Complete,PAVING PROJECT: '42ND AVE N - MURPHY RD - ALABAMA AVE',New,Low,Complete,893-00000,1721231.91666667,659039.25,36.14094318,-86.83743497,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6441?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.14094318, -86.83743497)"
1665,PV-SPR-10543,Paving,Paving,ARCHWOOD DR - STATE RT 45 - ANDERSON LN,ARCHWOOD DR - STATE RT 45 - ANDERSON LN,Paving project: ARCHWOOD DR - STATE RT 45 - ANDERSON LN,Paving project needed,09,129200.00,103663.00,126270.87,126270.87,100,2016,2016,04/18/2016,05/18/2016,Complete,Paving project on ARCHWOOD DR,New,Low,Complete,393-02016,1766247.13653629,704979.49823388,36.26815638,-86.68605648,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/1665?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.26815638, -86.68605648)"
646,PV-SUM-10899,Paving,Paving,AMERICAN RD - CHARLOTTE PK - BASSWOOD AV,AMERICAN RD - CHARLOTTE PK - BASSWOOD AV,ROADWAY RESURFACING PAVING PROJECT ON 'AMERICAN RD',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",20,240350.00,180206.75,0.00,180206.75,0,,,09/02/2020,10/25/2020,Complete,PAVING PROJECT: 'AMERICAN RD - CHARLOTTE PK - BASSWOOD AV',New,Low,Complete,1452-02020,1709330.97702733,662560.87074322,36.15046202,-86.87810668,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/646?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.15046202, -86.87810668)"
176,,Bikeway,Buffered Bike Lane,Hwy 96,Hwy 96 from Hwy 100 to County Line,New Buffered Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",35,0.00,0.00,63557.00,63557.00,100,,,01/01/2015,12/31/2015,Complete,New_BBL_BW,New,Medium,Complete,899-03014,1664563.82578516,610285.94073716,36.00483828,-87.02729165,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/176?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.00483828, -87.02729165)"
6383,,Culvert,Culvert Replacement,3321 Parkway Drive - Paving,PARKWAY DR Over BRICKDALE LN Between OAKVIEW DR And BRICKDALE LN,"Culvert Replacement Project - The existing culvert has areas of 100% section loss and the outlet is completely clogged with sediment. The work will consist of removing the existing 23""x15"" CMP and replacing with a 23""x 14"" HERCP  culvert and headwalls.",To repair the jobs identified by county wide culvert inspection program and to insure the safety of the traveling public,03,43500.00,43500.00,0.00,43500.00,0,08/24/2020,09/11/2020,08/24/2020,09/10/2020,Complete,Culvert installation complete. Roadway open to traffic,Replacement,High,Complete,1413-11014,1742719.28585386,693320.53658499,36.23559305,-86.76557436,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6383?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.23559305, -86.76557436)"
